Symbol,Sector Score,Cap Score
FINPIPE,6.9,7.0
FIVESTAR,4.9,5.3
FLAIR,7.7,8.2
FLUOROCHEM,6.0,6.0
FMGOETZE,7.8,7.8
FOCUS,7.4,10.0
FORCEMOT,9.6,9.8
FORTIS,5.7,6.7
FSL,6.3,6.5
GABRIEL,5.2,5.2
GAEL,5.7,5.8
GAIL,6.0,7.2
GALAXYSURF,6.0,6.1
GALLANTT,8.6,8.8
GANECOS,5.2,5.2
GARFIBRES,9.4,10.0
GATEWAY,6.6,8.1
GENESYS,4.9,5.3
GENUSPOWER,8.0,8.1
GESHIP,7.4,7.4
GICRE,3.8,3.8
GIPCL,4.8,4.8
GLAND,5.8,6.8
GLAXO,7.8,9.2
GLOBAL,8.9,10.0
GMDCLTD,7.5,9.1
GNA,7.6,7.6
GODFRYPHLP,9.2,9.2
GODREJAGRO,5.9,6.1
GODREJCP,5.5,5.5
GOKULAGRO,9.8,10.0
GOLDIAM,9.5,9.5
GOODLUCK,7.7,7.7
GPIL,8.8,8.9
GPPL,6.1,6.2
GPTHEALTH,5.5,10.0
GPTINFRA,8.6,8.6
GRANULES,6.2,6.4
GRAPHITE,5.4,5.4
GRAVITA,8.1,9.9
GREENPANEL,7.5,7.5
GREENPLY,6.0,6.0
GRINDWELL,7.9,8.0
GRWRHITECH,8.9,9.0
GSPL,5.6,5.6
GUJGASLTD,5.4,6.5
GULFOILLUB,5.6,6.1
GVT&D,4.0,4.0
HAL,8.8,8.8
HAPPSTMNDS,7.4,8.1
HAPPYFORGE,5.7,5.7
HARIOMPIPE,4.1,4.5
HATSUN,5.0,5.0
HAVELLS,8.3,8.9
HBLENGINE,8.9,9.0
HCLTECH,7.3,7.9
HDFCAMC,6.7,6.7
HDFCBANK,6.4,6.4
HDFCLIFE,5.7,5.7
HERITGFOOD,5.5,5.9
HEROMOTOCO,5.9,6.0
HESTERBIO,5.3,5.3
HINDALCO,7.1,7.1
HINDCOPPER,7.8,7.8
HINDPETRO,6.8,8.2
HINDUNILVR,7.7,7.7
HINDZINC,6.1,6.1
HIRECT,5.7,5.7
HLEGLAS,6.5,6.5
HMAAGRO,6.6,7.1
HNDFDS,7.7,7.9
HPL,7.1,7.1
HSCL,8.3,8.3
HUDCO,6.0,6.0
HUHTAMAKI,4.5,4.5
HYUNDAI,5.6,5.7
ICEMAKE,8.6,8.6
ICICIPRULI,5.0,5.0
ICIL,7.7,7.7
ICRA,6.7,7.2
IDBI,4.6,4.6
IGIL,7.0,7.1
IIFLCAPS,7.8,8.4
IKS,9.3,10.0
IMFA,6.4,7.8
INDHOTEL,6.8,8.2
INDIAGLYCO,5.4,5.5
INDIAMART,9.6,9.6
INDIANB,7.7,7.7
INDIASHLTR,5.8,6.2
INDIGOPNTS,5.2,5.2
INDNIPPON,6.9,6.9
INDOAMIN,8.1,10.0
INDOBORAX,7.2,8.8
INDOUS,4.7,5.4
INDSWFTLAB,4.3,4.3
INDUSTOWER,10.0,10.0
INFOBEAN,8.1,8.8
INFY,7.2,7.7
INNOVACAP,7.6,7.6
INNOVANA,8.0,8.0
INOXINDIA,8.5,8.6
INSECTICID,5.5,5.9
INTELLECT,7.1,7.7
INTLCONV,8.8,9.6
IOB,6.7,6.7
IOC,4.1,4.9
IONEXCHANG,6.9,8.1
IPCALAB,5.4,6.4
IPL,4.5,4.8
IRB,7.1,8.9
IRCTC,5.7,7.0
IREDA,8.7,8.7
ISGEC,5.7,6.0
J&KBANK,5.0,5.3
JAIBALAJI,6.5,8.0
JAMNAAUTO,8.6,8.6
JBCHEPHARM,8.4,9.9
JGCHEM,7.3,7.8
JINDALSAW,7.0,7.1
JINDRILL,6.5,7.0
JINDWORLD,6.0,6.0
