Symbol,Sector,Industry,Broad Sector,TTM Revenue,Revenue CAGR 5Y,Revenue CAGR 10Y,Revenue CAGR Max,Revenue CAGR Years,TTM Profit,Profit CAGR 5Y,Profit CAGR 10Y,Profit CAGR Max,Profit CAGR Years,Avg OPM 5Y,Avg OPM 10Y,Revenue YoY Q,Revenue Consecutive YoY,Revenue Accelerating,Profit YoY Q,Profit Positive Q,Total Quarters,Latest OPM Q,Avg OPM 4Q,Margin Improving,Latest EPS Q,EPS YoY Growth,Latest Debt,Debt Reducing,Latest Equity,Debt to Equity,ROE,Latest Operating CF,CF Positive Years,CF Total Years,CF Growing,CF Consistency,Latest ROCE,ROCE Improving,Avg ROCE 5Y,Final ROE,Promoter Holding,Promoter Change 4Q,Promoter Change 8Q,FII Holding,FII Change 4Q,DII Holding,DII Change 4Q,ROE from Ratios,ROE Avg 5Y,ROE Improving
DCMSRIND,Fast Moving Consumer Goods,Sugar,Fast Moving Consumer Goods,2052.0,2.71,4.69,4.14,11.0,101.0,1.02,30.59,11.01,11.0,8.4,8.3,-1.17,0.0,True,-113.62,12.0,13.0,1.82,7.37,False,-0.36,-113.69,302.0,True,912.0,0.33,11.07,152.0,11.0,12.0,False,91.7,14.0,True,12.6,11.07,50.11,0.0,0.0,1.49,-0.51,12.72,0.76,,,
DCW,Chemicals,Petrochemicals,Commodities,1253.0,4.14,,7.59,7.0,-6.0,,,,7.0,10.6,11.1,,,,,,,,,,,,779.0,False,560.0,1.39,-1.07,69.0,8.0,8.0,False,100.0,1.0,False,9.2,-1.07,45.28,0.41,1.2,8.17,-2.65,0.01,0.0,,,
DCXINDIA,Capital Goods,Aerospace & Defense,Industrials,1084.0,,,14.04,4.0,39.0,,,6.78,4.0,4.2,4.2,-39.47,0.0,False,-124.28,11.0,13.0,-4.24,-2.13,False,-0.22,-124.44,4.0,True,1453.0,0.0,2.68,496.0,3.0,5.0,True,60.0,5.0,False,12.5,2.68,52.17,-4.69,-19.55,1.06,0.05,3.64,-1.75,,,
DDEVPLSTIK,Chemicals,Specialty Chemicals,Commodities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.99,0.0,0.14,0.9,0.87,0.96,0.47,,,
DECCANCE,Construction Materials,Cement & Cement Products,Commodities,527.0,,,,,8.0,,,,,7.0,7.0,13.34,2.0,False,-169.14,5.0,7.0,8.7,13.15,False,-0.4,-168.97,760.0,,746.0,1.02,1.07,-38.0,0.0,1.0,,0.0,,,,1.07,56.24,0.0,0.0,12.85,1.3,0.78,0.0,,,
DEEDEV,Capital Goods,Industrial Products,Industrials,827.0,2.72,,2.72,5.0,44.0,27.62,,27.62,5.0,13.6,13.3,77.16,4.0,True,,10.0,12.0,17.0,17.75,False,2.64,-236.79,585.0,False,837.0,0.7,5.26,-60.0,5.0,6.0,False,83.3,9.0,True,7.4,5.26,70.18,0.01,0.0,0.78,-0.05,14.87,-1.66,,,
DEEPAKFERT,Chemicals,Commodity Chemicals,Commodities,10274.0,17.01,10.43,9.19,11.0,945.0,60.4,30.3,13.27,11.0,17.6,13.3,9.73,4.0,True,-44.27,13.0,13.0,12.0,16.0,False,11.21,-43.55,4440.0,False,6514.0,0.68,14.51,1880.0,9.0,12.0,True,75.0,16.0,False,17.0,14.51,45.63,0.0,0.17,10.31,-1.25,13.17,4.35,,,
DEEPAKNTR,Chemicals,Specialty Chemicals,Commodities,8282.0,14.38,20.1,20.1,10.0,697.0,2.67,29.39,29.39,10.0,19.4,17.1,3.78,1.0,True,2.04,13.0,13.0,11.0,11.75,False,7.32,1.81,1244.0,False,5515.0,0.23,12.64,625.0,11.0,11.0,False,100.0,16.0,False,30.4,12.64,49.33,0.09,0.2,6.06,-0.53,23.2,-0.02,,,
DEEPINDS,"Oil, Gas & Consumable Fuels",Oil Equipment & Services,Energy,576.0,17.06,,9.1,7.0,-79.0,,,,7.0,39.6,43.2,43.23,4.0,False,47.92,12.0,13.0,45.0,40.25,True,10.63,56.09,205.0,False,1931.0,0.11,-4.09,210.0,8.0,8.0,True,100.0,12.0,True,7.4,-4.09,63.49,0.0,0.0,1.71,-0.28,1.1,0.07,,,
DELHIVERY,Services,Logistics Solution Provider,Services,8932.0,26.28,,32.46,6.0,162.0,,,,6.0,-2.0,-16.3,17.96,4.0,True,60.0,7.0,13.0,7.0,5.25,True,0.53,55.88,1642.0,False,9529.0,0.17,1.7,567.0,3.0,7.0,True,42.9,2.0,True,-7.2,1.7,,,,48.57,-5.18,34.98,5.99,,,
DELPHIFX,Financial Services,Other Financial Services,Financial Services,54.72,-56.37,,-56.37,5.0,1.96,-31.1,,-31.1,5.0,0.3,0.4,347.31,1.0,False,135.29,3.0,5.0,4.18,5.9,True,0.01,0.0,186.12,False,229.76,0.81,0.85,-5.43,3.0,4.0,False,75.0,-5.99,False,15.0,0.85,61.32,-13.68,-13.68,0.02,0.02,0.0,-0.24,,,
DELTACORP,Consumer Services,Amusement Parks/ Other Recreation,Consumer Discretionary,730.0,-1.14,9.3,2.46,11.0,249.0,6.12,,13.15,11.0,26.0,31.9,-14.44,0.0,False,-61.11,13.0,13.0,14.0,19.75,False,0.53,-60.15,32.0,True,2284.0,0.01,10.9,49.0,12.0,12.0,False,100.0,8.0,False,8.4,10.9,34.46,1.2,1.2,1.64,0.62,0.24,-8.12,,,
DEN,"Media, Entertainment & Publication",TV Broadcasting & Software Production,Consumer Discretionary,1005.0,-4.89,-1.17,-0.8,11.0,197.0,27.27,,9.18,11.0,14.6,12.2,-3.83,0.0,False,-4.76,13.0,13.0,5.0,7.75,False,0.8,-4.76,22.0,True,3709.0,0.01,5.31,18.0,12.0,12.0,False,100.0,5.0,True,2.8,5.31,74.9,-0.01,-0.01,0.51,-0.23,0.14,-0.06,,,
DENORA,Capital Goods,Electrodes & Refractories,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.68,0.0,0.0,0.02,-0.08,0.22,0.0,,,
DENTA,Utilities,Water Supply & Management,Utilities,203.0,,,58.7,4.0,53.0,,,48.16,4.0,38.8,38.8,5.88,3.0,False,-6.67,9.0,9.0,33.0,32.0,True,5.36,-31.19,14.0,False,437.0,0.03,12.13,-72.0,3.0,5.0,False,60.0,25.0,False,79.2,12.13,71.91,0.0,0.0,0.0,0.0,0.63,0.0,,,
DEVIT,Information Technology,IT Enabled Services,Information Technology,171.0,19.9,14.03,10.5,11.0,15.0,30.26,31.1,27.91,11.0,5.4,7.8,-7.48,0.0,False,-507.69,12.0,13.0,-14.43,1.42,False,-1.29,-516.13,24.0,False,129.0,0.19,11.63,-9.0,8.0,12.0,False,66.7,11.0,False,14.4,11.63,66.63,0.0,-4.68,0.33,-1.15,,,,,
DEVYANI,Consumer Services,Restaurants,Consumer Discretionary,4951.0,26.71,,19.29,9.0,-7.0,,,,9.0,19.0,14.1,11.36,4.0,False,,6.0,13.0,16.0,15.0,True,-0.08,,3343.0,False,1553.0,2.15,-0.45,900.0,9.0,9.0,True,100.0,6.0,False,9.6,-0.45,61.37,-1.35,-1.37,5.77,-5.4,19.44,3.98,,,
DHAMPURSUG,Fast Moving Consumer Goods,Sugar,Fast Moving Consumer Goods,1957.0,-10.89,0.97,0.65,11.0,52.0,-24.78,,,11.0,12.2,12.7,9.47,4.0,False,80.0,11.0,13.0,12.0,8.5,False,4.12,78.35,488.0,True,1125.0,0.43,4.62,201.0,7.0,12.0,False,58.3,6.0,False,10.8,4.62,49.87,0.77,0.78,1.91,-0.23,0.58,0.12,,,
DHANBANK,Financial Services,Private Sector Bank,Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.32,8.37,0.05,-0.11,,,
DHANUKA,Chemicals,Pesticides & Agrochemicals,Commodities,2035.0,12.69,9.99,9.66,11.0,297.0,16.07,10.85,11.13,11.0,18.4,17.5,20.11,4.0,True,28.81,13.0,13.0,25.0,20.25,True,16.75,29.34,74.0,False,1403.0,0.05,21.17,263.0,12.0,12.0,True,100.0,28.0,True,29.6,21.17,69.72,-0.57,-0.47,2.14,-0.02,18.78,0.05,,,
DHARMAJ,Chemicals,Pesticides & Agrochemicals,Commodities,951.0,,,45.41,1.0,35.0,,,-20.45,1.0,9.0,9.0,8.61,3.0,False,-35.59,6.0,7.0,3.86,7.16,True,0.22,-37.14,139.0,False,445.0,0.31,7.87,39.0,2.0,2.0,,100.0,12.0,,12.0,7.87,70.4,0.0,0.0,3.49,-0.28,0.47,-0.43,,,
DHRUV,Services,Consulting Services,Services,102.0,,,12.22,2.0,7.0,,,18.32,2.0,14.0,14.0,-127.27,0.0,False,-1650.0,8.0,11.0,10.0,14.75,False,-16.35,-1546.9,24.0,False,106.0,0.23,6.6,-14.0,1.0,3.0,False,33.3,11.0,,11.5,6.6,49.44,0.02,-11.49,2.34,-0.78,0.94,-0.04,,,
DHUNINV,Financial Services,Non Banking Financial Company (NBFC),Financial Services,539.0,47.58,,36.86,9.0,140.0,,,,9.0,,,-44.27,0.0,True,-101.32,8.0,13.0,,,,-5.38,-106.68,4603.0,False,2711.0,1.7,5.16,65.0,8.0,10.0,False,80.0,,,,3.0,74.95,0.0,0.0,0.1,-0.01,0.04,0.0,3.0,7.4,False
DIACABS,Capital Goods,Other Electrical Equipment,Industrials,1115.0,-18.77,4.87,7.03,11.0,34.0,-21.07,-4.87,-2.71,11.0,-7.4,1.8,54.4,4.0,False,733.33,10.0,13.0,15.0,9.75,True,0.94,683.33,610.0,False,-714.0,,,77.0,4.0,11.0,True,36.4,-29.0,False,-1.0,,84.02,-5.98,72.61,0.44,0.4,0.1,0.1,,,
DIAMINESQ,Chemicals,Specialty Chemicals,Commodities,71.41,14.95,,0.73,9.0,2.73,61.3,,-2.78,9.0,30.8,22.1,-56.37,0.0,False,-553.33,9.0,13.0,-37.43,-25.52,False,-3.48,-551.95,9.81,False,154.21,0.06,1.77,-5.02,8.0,10.0,False,80.0,3.33,False,19.4,1.77,55.34,0.47,0.7,0.0,0.0,0.02,-0.01,,,
DIAMONDYD,Fast Moving Consumer Goods,Packaged Foods,Fast Moving Consumer Goods,1653.0,10.2,17.0,22.78,11.0,20.0,-14.59,2.92,3.99,11.0,5.4,6.0,7.2,4.0,False,,8.0,13.0,5.0,3.5,True,9.21,-830.95,60.0,False,677.0,0.09,2.95,80.0,12.0,12.0,True,100.0,1.0,False,4.8,2.95,54.81,-4.72,-9.49,5.02,-2.35,7.21,3.07,,,
DICIND,Chemicals,Printing Inks,Commodities,503.0,,,12.86,4.0,22.0,,,16.36,4.0,7.0,7.0,,,,,,,,,,,,43.0,False,212.0,0.2,10.38,35.0,3.0,5.0,False,60.0,15.0,False,15.5,10.38,71.75,0.0,0.0,,,,,,,
DIFFNKG,Capital Goods,Other Industrial Products,Industrials,335.0,16.82,,13.83,6.0,36.0,26.76,,25.99,6.0,12.2,11.9,27.85,4.0,True,71.43,8.0,8.0,13.0,13.5,False,3.22,70.37,22.0,True,385.0,0.06,9.35,9.0,6.0,7.0,True,85.7,15.0,False,16.8,9.35,69.7,0.0,0.0,0.14,-1.24,6.8,-1.76,,,
DIGISPICE,Information Technology,IT Enabled Services,Information Technology,448.0,1.94,-11.88,-13.14,11.0,-39.0,,,,11.0,1.4,0.2,-3.41,0.0,False,,5.0,13.0,5.52,4.21,True,0.1,-111.9,13.0,True,227.0,0.06,-17.18,12.0,7.0,12.0,True,58.3,5.0,True,4.8,-17.18,72.7,0.06,-0.3,0.0,0.0,,,,,
DIVGIITTS,Automobile and Auto Components,Auto Components & Equipments,Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.56,0.07,0.07,1.72,0.04,25.93,0.13,,,
DIVISLAB,Healthcare,Pharmaceuticals,Healthcare,9360.0,11.65,11.63,12.62,11.0,2191.0,9.73,9.91,9.93,11.0,35.0,35.4,12.29,4.0,False,-1.02,13.0,13.0,34.0,32.75,False,21.96,-1.04,90.0,False,15413.0,0.01,14.22,1653.0,12.0,12.0,False,100.0,20.0,True,24.4,14.22,51.88,-0.01,-0.04,20.08,2.1,19.18,-1.26,,,
DIXON,Consumer Durables,Consumer Electronics,Consumer Discretionary,38860.0,54.6,41.58,38.34,11.0,1233.0,59.35,57.65,50.25,11.0,4.2,4.3,2.09,4.0,False,48.61,13.0,13.0,4.0,4.0,False,47.34,66.11,1389.0,False,4064.0,0.34,30.34,1150.0,11.0,12.0,True,91.7,40.0,True,29.2,30.34,28.83,-3.59,-4.8,18.68,-4.54,29.06,6.45,,,
DLF,Realty,"Residential, Commercial Projects",Consumer Discretionary,7994.0,5.62,0.44,-0.34,11.0,4367.0,,24.03,19.96,11.0,29.2,30.8,32.11,1.0,True,13.6,13.0,13.0,19.0,20.0,False,4.86,13.55,1777.0,True,43002.0,0.04,10.16,5235.0,11.0,12.0,True,91.7,7.0,True,5.4,10.16,74.08,0.0,0.0,14.82,-1.55,5.78,0.91,,,
DLINKINDIA,Information Technology,Computers Hardware & Equipments,Information Technology,1384.0,13.34,8.0,8.0,10.0,104.0,24.33,16.8,16.8,10.0,8.2,6.5,19.34,4.0,True,3.85,13.0,13.0,9.0,8.75,False,7.52,0.8,11.0,False,472.0,0.02,22.03,90.0,10.0,11.0,True,90.9,28.0,False,25.0,22.03,51.02,0.0,0.0,1.13,0.29,0.01,-0.11,,,
DMART,Consumer Services,Diversified Retail,Consumer Discretionary,59358.0,19.0,24.87,25.96,11.0,2707.0,15.78,29.01,29.25,11.0,7.8,8.1,13.32,4.0,False,18.23,13.0,13.0,8.0,7.25,True,13.15,18.26,1609.0,False,22890.0,0.07,11.83,2463.0,12.0,12.0,False,100.0,18.0,False,17.2,11.83,74.65,0.01,0.01,8.71,-0.25,8.83,0.76,,,
DMCC,Chemicals,Specialty Chemicals,Commodities,431.0,18.05,,11.93,8.0,22.0,-6.63,,3.28,8.0,12.6,14.7,27.81,4.0,True,-21.6,12.0,13.0,9.76,11.56,False,2.47,-21.84,40.0,True,234.0,0.17,9.4,38.0,9.0,9.0,True,100.0,14.0,True,12.6,9.4,53.84,0.0,0.0,0.13,-0.23,1.27,0.03,,,
DODLA,Fast Moving Consumer Goods,Dairy Products,Fast Moving Consumer Goods,3720.0,11.7,,12.91,7.0,260.0,39.06,,24.21,7.0,9.6,8.8,13.76,4.0,True,7.81,13.0,13.0,8.0,8.5,False,11.39,8.06,55.0,False,1531.0,0.04,16.98,520.0,7.0,8.0,True,87.5,27.0,True,23.2,16.98,58.92,-0.77,-3.29,7.36,-3.67,23.76,4.92,,,
DOLATALGO,Financial Services,Stockbroking & Allied,Financial Services,530.0,27.39,,28.82,6.0,216.0,24.92,,27.2,6.0,71.8,72.1,-9.24,0.0,True,2.63,13.0,13.0,61.0,53.5,True,2.21,4.25,196.0,False,1047.0,0.19,20.63,-27.0,6.0,7.0,False,85.7,35.0,True,39.6,20.63,74.49,0.0,0.0,0.73,0.62,0.01,0.01,,,
DOLLAR,Textiles,Garments & Apparels,Consumer Discretionary,1710.0,12.08,,9.16,7.0,92.0,10.05,,5.32,7.0,11.4,11.8,1.84,4.0,False,-10.0,12.0,13.0,10.0,11.0,False,3.24,-7.95,338.0,False,895.0,0.38,10.28,74.0,5.0,8.0,False,62.5,13.0,True,16.4,10.28,72.21,0.0,-0.88,4.36,2.35,1.21,0.26,,,
DOLPHIN,"Oil, Gas & Consumable Fuels",Offshore Support Solution Drilling,Energy,74.0,-18.67,-9.46,-12.05,11.0,46.0,,27.66,10.08,11.0,36.8,29.8,7.14,4.0,False,-18.75,10.0,13.0,75.0,78.5,True,3.32,-14.65,194.0,False,302.0,0.64,15.23,10.0,8.0,12.0,True,66.7,15.0,True,3.4,15.23,74.99,0.0,0.0,4.57,-8.25,0.31,-1.29,,,
DOMS,Fast Moving Consumer Goods,Stationary,Fast Moving Consumer Goods,1913.0,23.94,,23.94,5.0,214.0,41.29,,41.29,5.0,13.6,13.3,18.16,4.0,False,12.96,13.0,13.0,17.0,17.5,False,9.54,14.11,161.0,True,1099.0,0.15,19.47,183.0,6.0,6.0,True,100.0,26.0,False,19.8,19.47,70.38,0.0,-4.57,8.38,-1.58,18.28,2.57,,,
DONEAR,Textiles,Other Textile Products,Consumer Discretionary,914.0,,,14.39,1.0,32.0,,,-8.57,1.0,10.5,10.5,-2.83,0.0,False,54.55,8.0,8.0,12.0,10.25,True,3.29,56.67,397.0,False,255.0,1.56,12.55,-1.0,1.0,2.0,,50.0,15.0,,15.0,12.55,74.56,0.0,0.0,0.04,-0.1,0.0,-0.14,,,
DPABHUSHAN,Consumer Durables,"Gems, Jewellery And Watches",Consumer Discretionary,1728.0,,,46.33,2.0,41.0,,,55.3,2.0,4.0,4.0,-25.5,0.0,False,16.55,10.0,10.0,4.35,4.62,False,4.34,16.67,170.0,False,138.0,1.23,29.71,17.0,2.0,3.0,True,66.7,24.0,,23.0,29.71,74.88,1.06,-0.12,0.22,0.02,0.0,-0.05,,,
DPSCLTD,Power,Integrated Power Utilities,Utilities,620.0,5.21,-1.46,-1.03,11.0,7.0,-11.65,-11.95,-12.12,11.0,2.0,2.4,-2.35,0.0,False,-30.19,12.0,13.0,-4.06,-16.05,True,0.02,-33.33,94.0,True,884.0,0.11,0.79,79.0,11.0,12.0,True,91.7,3.0,False,3.4,0.79,59.33,-0.14,-0.16,0.13,-0.01,0.12,0.0,,,
DPWIRES,Capital Goods,Iron & Steel Products,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.78,0.0,0.0,0.0,0.0,0.03,0.03,,,
DRCSYSTEMS,Information Technology,Computers - Software & Consulting,Information Technology,65.0,,,48.12,3.0,15.0,,,146.62,3.0,24.5,24.5,60.35,3.0,True,40.56,13.0,13.0,27.41,31.23,False,0.38,40.74,3.0,False,75.0,0.04,20.0,33.0,3.0,4.0,True,75.0,30.0,False,30.3,20.0,20.63,-1.77,-1.81,0.0,-0.21,0.35,-0.01,,,
DREAMFOLKS,Services,Airport & Airport services,Services,1292.0,28.62,,31.66,6.0,65.0,15.23,,27.68,6.0,7.2,8.1,-84.28,0.0,False,-146.4,12.0,13.0,-26.45,-1.63,False,-1.48,-145.82,10.0,False,334.0,0.03,19.46,57.0,6.0,7.0,True,85.7,34.0,False,36.2,19.46,65.72,0.0,-0.3,0.01,-2.51,0.0,-7.59,,,
DREDGECORP,Services,Dredging,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.47,0.0,0.0,0.51,0.33,8.15,1.55,,,
DRREDDY,Healthcare,Pharmaceuticals,Healthcare,32644.0,13.26,8.07,8.42,11.0,5725.0,23.09,9.38,10.22,11.0,23.4,20.8,4.44,4.0,False,-15.24,13.0,13.0,22.0,23.25,False,14.5,-14.4,5854.0,False,36014.0,0.16,15.9,4643.0,12.0,12.0,False,100.0,23.0,False,21.4,15.9,26.64,0.0,-0.01,22.34,-4.51,30.44,7.55,,,
DSSL,Information Technology,IT Enabled Services,Information Technology,1267.0,30.95,41.64,41.64,10.0,72.0,64.38,,,10.0,6.4,5.2,9.65,4.0,False,33.33,13.0,13.0,12.0,10.5,True,18.45,27.86,174.0,False,273.0,0.64,26.37,66.0,8.0,11.0,True,72.7,39.0,True,33.8,26.37,60.95,-0.05,-0.15,0.34,-0.47,0.26,0.26,,,
DVL,Diversified,Diversified,Diversified,528.0,49.8,-18.67,-16.59,11.0,143.0,,,5.66,11.0,23.4,8.6,-36.35,0.0,True,-93.5,11.0,13.0,-59.03,-35.84,True,1.73,-93.52,535.0,False,3230.0,0.17,4.43,-378.0,7.0,12.0,False,58.3,7.0,False,17.0,4.43,75.0,0.0,0.0,0.63,-0.06,1.73,0.0,,,
DWARKESH,Fast Moving Consumer Goods,Sugar,Fast Moving Consumer Goods,,,,,,,,,,,,,-8.42,0.0,False,,5.0,8.0,-16.0,8.5,False,-1.64,1722.22,,,,,,,,,,,,,,,42.1,0.0,0.01,1.68,0.04,0.11,0.11,,,
DYCL,Capital Goods,Cables - Electricals,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.18,0.01,-6.27,0.53,-0.66,1.03,-1.42,,,
DYNAMATECH,Capital Goods,Industrial Products,Industrials,1404.0,2.68,-1.46,-1.09,11.0,43.0,1.97,4.02,10.74,11.0,12.2,11.7,34.7,4.0,True,63.46,13.0,13.0,11.78,10.93,True,9.1,63.38,594.0,False,765.0,0.78,5.62,144.0,12.0,12.0,True,100.0,9.0,False,8.6,5.62,41.87,0.0,0.0,10.28,-2.98,15.35,2.01,,,
DYNPRO,Chemicals,Specialty Chemicals,Commodities,368.0,15.12,11.05,10.98,11.0,15.0,-8.97,5.24,3.75,11.0,14.4,16.2,-5.1,0.0,True,5.01,12.0,13.0,13.96,13.62,True,3.71,1.64,79.0,True,233.0,0.34,6.44,28.0,12.0,12.0,True,100.0,10.0,True,8.8,6.44,29.42,0.0,0.0,0.15,-0.11,0.8,0.52,,,
EASEMYTRIP,Consumer Services,"Tour, Travel Related Services",Consumer Discretionary,587.0,33.01,,33.01,5.0,109.0,26.99,,26.99,5.0,42.6,36.7,0.72,1.0,True,-89.98,11.0,13.0,2.82,3.88,False,0.02,-77.78,36.0,False,866.0,0.04,12.59,112.0,5.0,6.0,True,83.3,21.0,False,47.4,12.59,47.72,-2.66,-16.58,0.45,-2.13,2.48,-0.52,,,
ECLERX,Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,3366.0,18.54,13.58,13.44,11.0,541.0,20.95,8.93,7.04,11.0,27.6,28.2,25.29,4.0,True,40.15,13.0,13.0,26.0,25.25,True,20.4,41.86,395.0,False,2624.0,0.15,20.62,655.0,12.0,12.0,True,100.0,28.0,False,30.8,20.62,54.53,0.72,0.92,11.44,1.32,24.53,-0.59,,,
ECOSMOBLTY,Services,Road Transport,Services,642.0,9.87,,9.87,5.0,60.0,97.44,,97.44,5.0,15.0,13.5,22.62,4.0,False,7.69,11.0,11.0,11.0,12.25,False,2.32,8.92,8.0,True,235.0,0.03,25.53,75.0,6.0,6.0,True,100.0,35.0,False,30.2,25.53,67.79,0.04,0.04,2.36,-5.45,12.83,1.65,,,
EDELWEISS,Financial Services,Holding Company,Financial Services,9415.0,-0.21,9.25,12.67,11.0,536.0,,5.1,8.57,11.0,37.4,45.2,132.03,1.0,True,74.19,13.0,13.0,27.0,31.75,False,2.79,111.36,19459.0,True,4419.0,4.4,12.13,2052.0,7.0,12.0,False,58.3,13.0,True,11.0,12.13,32.69,-0.03,-0.06,18.43,-8.46,5.73,2.5,,,
EICHERMOT,Automobile and Auto Components,2/3 Wheelers,Consumer Discretionary,18870.0,15.57,8.0,9.71,11.0,4734.0,20.98,21.03,22.13,11.0,23.2,25.9,22.94,4.0,False,21.45,13.0,13.0,25.0,24.25,True,51.79,21.29,446.0,False,22086.0,0.02,21.43,3980.0,12.0,12.0,True,100.0,30.0,True,24.6,21.43,49.06,-0.03,-0.09,27.01,1.59,14.64,-1.47,,,
EIDPARRY,Fast Moving Consumer Goods,Other Food Products,Fast Moving Consumer Goods,31609.0,13.04,8.52,9.11,11.0,1773.0,14.81,20.44,20.94,11.0,9.4,9.0,18.3,4.0,False,5.05,13.0,13.0,8.0,8.75,False,13.05,18.96,2666.0,False,8646.0,0.31,20.51,1936.0,11.0,12.0,True,91.7,17.0,False,22.2,20.51,41.45,-0.25,-0.79,12.61,-0.03,16.28,2.99,,,
EIEL,Utilities,Water Supply & Management,Utilities,1066.0,58.08,,58.08,5.0,177.0,104.08,,104.08,5.0,21.2,19.2,1.21,4.0,False,13.51,10.0,10.0,27.0,27.0,True,2.3,10.05,295.0,False,1139.0,0.26,15.54,-47.0,3.0,6.0,False,50.0,32.0,False,45.4,15.54,70.13,0.11,0.11,0.4,-1.05,1.03,-4.16,,,
EIFFL,Fast Moving Consumer Goods,Packaged Foods,Fast Moving Consumer Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5,0.0,0.0,0.0,0.0,,,,,
EIHAHOTELS,Consumer Services,Hotels & Resorts,Consumer Discretionary,197.0,3.48,,3.48,5.0,12.0,1.76,,1.76,5.0,31.0,31.0,,,,,,,,,,,,230.0,True,103.0,2.23,11.65,54.0,6.0,6.0,True,100.0,13.0,True,11.8,11.65,75.0,0.0,0.0,13.7,-0.07,,,,,
EIHOTEL,Consumer Services,Hotels & Resorts,Consumer Discretionary,2743.0,11.44,5.09,5.34,11.0,770.0,36.08,26.06,18.41,11.0,5.8,12.6,9.13,4.0,True,-8.6,13.0,13.0,43.0,34.75,True,3.89,-8.04,250.0,False,4706.0,0.05,16.36,825.0,10.0,12.0,True,83.3,23.0,True,9.8,16.36,32.85,0.0,0.0,6.16,0.83,14.13,0.27,,,
EIMCOELECO,Capital Goods,Industrial Products,Industrials,228.0,4.27,,6.29,8.0,39.0,11.14,,10.15,8.0,11.4,12.3,31.25,4.0,True,50.0,11.0,13.0,20.0,16.75,True,25.73,51.26,0.0,False,386.0,,10.1,12.0,8.0,9.0,True,88.9,13.0,True,6.4,10.1,48.96,-24.68,-25.1,3.39,3.11,1.0,0.25,,,
EKC,Capital Goods,Industrial Products,Industrials,1499.0,14.52,12.25,10.68,11.0,98.0,117.79,,,11.0,16.0,12.8,-0.54,0.0,True,100.0,12.0,13.0,16.0,13.25,True,3.18,97.52,197.0,False,1287.0,0.15,7.61,58.0,11.0,12.0,False,91.7,12.0,False,18.6,7.61,67.38,0.0,-0.01,1.43,-1.0,0.21,0.13,,,
ELDEHSG,Realty,"Residential, Commercial Projects",Consumer Discretionary,133.0,0.77,9.43,6.15,11.0,22.0,-10.82,13.87,4.19,11.0,36.4,32.2,22.86,1.0,True,133.33,13.0,13.0,41.0,19.5,True,13.9,136.8,105.0,False,390.0,0.27,5.64,-7.0,9.0,12.0,False,75.0,7.0,False,18.4,5.64,54.83,0.0,0.0,0.82,0.0,0.32,0.03,,,
ELECON,Capital Goods,Heavy Electrical Equipment,Industrials,2227.0,15.4,5.3,5.07,11.0,415.0,35.76,37.64,36.09,11.0,21.8,17.3,4.35,4.0,False,-33.33,13.0,13.0,20.0,23.25,False,3.21,-32.99,258.0,False,2244.0,0.11,18.49,432.0,12.0,12.0,True,100.0,28.0,True,22.4,18.49,59.28,0.0,-0.01,8.09,-1.64,4.48,0.81,,,
ELECTCAST,Capital Goods,Iron & Steel Products,Industrials,7320.0,21.98,11.79,10.43,11.0,710.0,34.55,,,11.0,13.2,13.3,-17.3,0.0,True,-113.75,12.0,13.0,2.0,7.25,False,-0.35,-113.51,2223.0,True,5894.0,0.38,12.05,480.0,10.0,12.0,True,83.3,13.0,True,11.4,12.05,46.22,0.0,2.14,19.38,-0.53,0.24,-0.38,,,
ELECTHERM,Capital Goods,Iron & Steel Products,Industrials,4115.0,5.08,7.23,16.53,11.0,442.0,79.08,,,11.0,7.0,5.3,-16.37,0.0,False,-139.77,11.0,13.0,-3.0,2.0,False,-27.8,-140.1,1170.0,True,-154.0,,,329.0,12.0,12.0,True,100.0,32.0,True,18.2,,29.9,0.0,-1.14,5.89,1.28,0.85,0.77,,,
ELGIEQUIP,Capital Goods,"Compressors, Pumps & Diesel Engines",Industrials,3510.0,13.92,10.49,9.07,11.0,350.0,52.1,21.98,20.26,11.0,13.4,11.5,18.28,4.0,True,17.28,13.0,13.0,14.0,14.25,False,3.0,18.11,528.0,True,2008.0,0.26,17.43,391.0,12.0,12.0,True,100.0,22.0,False,20.0,17.43,31.19,0.0,0.0,23.11,-6.29,8.08,3.01,,,
