Symbol,Sector,Fund Score,Current Price,RSI,ADX,MACD Hist,Vol Ratio,EMA20,EMA50,EMA200,DI+,DI-,Momentum Score,Reversal Score,Best Setup,Tech Score,Tier,In Consolidation,Consol Days,Consol Label,Pct to Breakout,Consol Volume,Sector Score,Cap Score,Market Cap Cr,Cap Category,Vol 5D Ratio,Breakout Vol,Vol Label,Vol Inference,Sector Trend,Sector Detail,range_pct
PARAS,Capital Goods,63.2,627.2,34.95,26.48,-6.55,0.12,658.78,664.14,693.47,14.57,23.13,5,50,Reversal,50,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,9.3,10.0,5054.437376,Mid Cap,0.14,0.0,Very Low,Sellers exhausted → reversal likely,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,0.0
HAPPSTMNDS,Information Technology,62.8,410.85,65.55,26.01,5.11,4.12,381.61,398.84,495.19,35.94,18.12,60,15,Momentum,60,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,8.3,10.0,6172.2456064,Mid Cap,1.02,0.0,Normal,Average volume → monitor for increase,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,0.0
TCS,Information Technology,62.0,2390.6,31.37,53.77,1.69,1.14,2531.29,2736.32,3045.44,12.92,35.27,20,55,Reversal,55,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,8.2,10.0,864940.0385536,Large Cap,0.89,0.0,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,0.0
HAL,Capital Goods,62.0,3782.4,28.04,29.76,-6.34,0.59,3971.91,4116.04,4337.85,11.76,32.36,5,65,Reversal,65,TIER 1 — BUY NOW (Reversal),True,490,490d (1-1.5 years),-26.29,0.77,9.1,9.1,252957.4518784,Large Cap,0.52,0.54,Very Low,Low volume on down move → selling pressure easing,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,49.79
INFY,Information Technology,60.0,1255.9,43.26,34.49,5.58,2.07,1299.11,1398.01,1506.52,20.07,26.52,20,55,Reversal,55,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,7.9,9.7,508188.2165248,Large Cap,1.14,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,0.0
LTTS,Information Technology,60.0,3229.1,42.72,38.18,30.86,0.45,3344.72,3597.59,4084.65,26.53,18.45,30,40,Watching,40,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,7.9,7.9,34227.8602752,Mini Large Cap,0.79,0.0,Low,Low activity → no setup forming yet,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,0.0
GRANULES,Healthcare,60.0,590.95,59.26,14.2,1.23,1.48,578.87,577.64,552.93,23.58,18.21,80,28,Momentum,80,TIER 1 — BUY NOW (Momentum),True,444,444d (1-1.5 years),-11.3,2.37,9.2,10.0,14643.560448,Mid Cap,1.65,0.58,High,Good volume support → momentum confirmed,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,47.5
HAVELLS,Consumer Durables,59.0,1281.2,33.26,24.44,-7.18,1.0,1341.01,1367.35,1449.41,18.9,34.01,0,80,Reversal,80,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,8.6,10.0,80368.8677376,Mini Large Cap,1.04,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 36.4 | ADX 46.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,0.0
VINATIORGA,Chemicals,58.0,1386.2,42.3,31.2,3.63,1.77,1423.05,1479.32,1612.82,17.77,28.26,20,45,Watching,45,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,7.9,7.9,14380.5284352,Mid Cap,1.74,0.0,High,Above avg volume but no setup → watch,Strong Downtrend ↓↓,RSI 34.4 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,0.0
HDFCBANK,Financial Services,56.6,780.45,20.29,52.55,-4.91,2.21,852.9,894.8,935.26,10.89,47.32,5,65,Reversal,65,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,7.5,7.5,1201261.8776576,Large Cap,2.15,0.0,Very High,High volume → could be capitulation or distribution,Strong Downtrend ↓↓,RSI 32.5 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,0.0
RELIANCE,"Oil, Gas & Consumable Fuels",55.0,1414.4,56.63,27.11,3.32,1.27,1403.01,1425.65,1431.6,17.35,24.04,45,15,Watching,45,TIER 3 — WAITING,True,612,612d (1.5-2 years),-9.32,1.39,10.0,10.0,1914032.881664,Large Cap,1.0,1.48,Normal,Normal activity → no setup forming yet,Weak Uptrend →↑,RSI 46.6 | ADX 16.4 | MACD ▼ | EMA ↑↑↑ | Above EMA200,34.98
IPCALAB,Healthcare,53.0,1544.9,57.87,31.49,1.74,0.89,1523.26,1492.08,1434.36,22.72,9.62,100,0,Momentum,100,TIER 3 — WAITING,True,486,486d (1-1.5 years),-4.28,2.4,8.2,10.0,39337.0238976,Mini Large Cap,1.38,0.75,Normal,Average volume → monitor for increase,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,37.72
WONDERLA,Consumer Services,51.0,520.25,60.66,28.79,2.77,0.89,507.95,510.69,572.67,23.83,11.99,60,0,Momentum,60,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,10.0,10.0,3299.2405504,Small Cap,0.82,0.0,Low,"Weak volume → momentum may fade, wait",Strong Downtrend ↓↓,RSI 34.4 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,0.0
GALAXYSURF,Chemicals,50.0,1641.0,18.92,49.48,-28.51,2.41,1814.53,1885.87,2111.63,5.89,39.35,5,20,Watching,20,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,6.8,6.8,5818.1246976,Mid Cap,1.7,0.0,High,Strong downtrend → no entry signal,Strong Downtrend ↓↓,RSI 34.4 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,0.0
VGUARD,Consumer Durables,49.0,324.85,57.34,27.03,2.02,0.74,320.4,323.63,345.69,23.34,12.45,55,23,Momentum,55,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,7.1,10.0,14174.6552832,Mid Cap,0.87,0.0,Low,"Weak volume → momentum may fade, wait",Strong Downtrend ↓↓,RSI 36.4 | ADX 46.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,0.0
SYMPHONY,Consumer Durables,48.7,771.45,38.58,24.31,1.93,0.68,806.52,839.43,940.75,22.41,23.56,15,33,Watching,33,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,7.1,9.9,5297.6553984,Mid Cap,0.64,0.0,Very Low,"Very low volume → no interest, wait",Strong Downtrend ↓↓,RSI 36.4 | ADX 46.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,0.0
SUPRAJIT,Automobile and Auto Components,45.0,402.55,39.53,41.64,-1.45,0.52,415.7,428.82,441.97,6.39,25.38,5,70,Reversal,70,TIER 3 — WAITING,True,497,497d (1-1.5 years),-24.4,1.93,10.0,10.0,5521.8245632,Mid Cap,0.98,0.4,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 37.2 | ADX 40.3 | MACD ▼ | EMA mixed | Below EMA200,38.87
WIPRO,Information Technology,44.0,190.9,33.96,43.05,0.49,1.38,200.39,215.37,235.89,13.37,37.65,20,65,Reversal,65,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,5.8,7.1,199998.8457472,Large Cap,1.13,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,0.0
CREDITACC,Financial Services,42.7,1156.9,37.6,14.32,-3.61,0.88,1206.28,1249.12,1265.08,19.37,22.49,5,63,Reversal,63,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,5.7,10.0,18523.291648,Mid Cap,0.76,0.0,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 32.5 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,0.0
HIMATSEIDE,Textiles,40.0,79.32,22.59,47.78,-0.91,0.93,89.66,99.06,118.8,12.19,33.18,5,65,Reversal,65,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,6.2,10.0,997.387776,Small Cap,1.46,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 34.4 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,0.0
APLLTD,Healthcare,39.0,677.3,39.05,46.19,-1.68,1.13,705.08,750.61,853.58,15.77,29.92,5,55,Reversal,55,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,6.0,6.5,13345.4741504,Mid Cap,0.76,0.0,Low,Neutral volume → wait for low-volume base to form,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,0.0
MIDHANI,Capital Goods,35.0,315.3,40.2,19.7,-2.56,1.14,331.11,340.59,354.97,21.85,28.22,0,25,Watching,25,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,5.1,5.5,5918.8686848,Mid Cap,1.05,0.0,Normal,Normal activity → no setup forming yet,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,0.0
MANAPPURAM,Financial Services,31.9,259.25,40.45,31.37,0.04,0.57,270.63,282.34,272.84,21.03,24.46,25,90,Reversal,90,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,4.2,7.5,21943.820288,Mid Cap,1.15,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 32.5 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,0.0
RALLIS,Chemicals,30.0,238.65,30.45,31.26,-1.87,0.69,252.9,261.18,278.63,14.14,26.13,10,43,Watching,43,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,4.1,4.3,4641.0002432,Small Cap,0.67,0.0,Very Low,"Very low volume → no interest, wait",Strong Downtrend ↓↓,RSI 34.4 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,0.0
