Symbol,Group,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,ML_Prediction,ML_Confidence
AURIONPRO,IT,76.2,0.0,True,False,0.0,86.2,1.5,2.5,5.3,827.36,836.07,858.92,Bullish,76.2
AUROPHARMA,Healthcare,0.0,66.4,False,True,76.5,0.0,1.5,2.9,10.0,1310.93,1328.71,1420.17,Bullish Continual,76.5
AVANTEL,Industrial,82.8,0.0,True,False,0.0,87.6,1.6,4.3,16.6,129.45,132.8,148.51,Bullish,82.8
AVANTIFEED,Consumer,84.5,0.0,True,False,75.9,0.0,10.0,8.9,29.1,1326.19,1313.42,1556.83,Bullish,84.5
AWHCL,Industrial,80.7,0.0,True,False,0.0,85.8,0.1,2.1,16.0,439.2,447.65,508.61,Reversal,80.7
AXISBANK,Financial,64.8,0.0,True,False,0.0,0.0,2.5,4.1,20.3,1233.42,1253.82,1447.84,Bullish,64.8
AXISCADES,Industrial,0.0,0.0,False,False,76.4,0.0,2.8,4.8,24.9,1465.54,1493.97,1781.73,Bullish Continual,76.4
BAJAJ-AUTO,Industrial,69.7,0.0,True,False,0.0,0.0,0.6,1.6,11.7,9101.28,9196.63,10111.17,Reversal,69.7
BAJAJCON,Consumer,0.0,0.0,False,False,80.8,0.0,5.2,4.3,23.8,385.43,382.1,453.38,Bullish Continual,80.8
BAJAJFINSV,Financial,63.0,0.0,True,False,0.0,86.4,2.5,4.1,16.5,1752.24,1781.22,1992.36,Reversal,63.0
BAJAJHLDNG,Financial,62.9,0.0,True,False,0.0,74.6,2.5,3.5,11.6,9745.25,9842.8,10617.6,Bullish,62.9
BAJAJINDEF,Industrial,88.1,0.0,True,False,0.0,87.8,2.2,1.0,6.8,237.87,235.12,248.6,Bullish,88.1
BAJFINANCE,Financial,69.6,0.0,True,False,0.0,0.3,2.5,4.1,20.3,850.92,864.99,998.84,Reversal,69.6
BALAMINES,Chemicals,0.0,0.0,False,False,0.0,78.2,1.1,3.0,8.2,1078.92,1099.03,1154.33,Bullish Continual,0.0
BALKRISIND,Industrial,75.0,0.0,True,False,0.0,86.0,-0.1,1.8,7.1,2102.12,2142.09,2254.12,Bearish,0.0
