Symbol,Sector,Fund Score,Market Cap Cr,Cap Category,Current Price,RSI,ADX,MACD Hist,Vol Ratio,EMA20,EMA50,EMA200,DI+,DI-,Momentum Score,Reversal Score,Best Setup,Tech Score,Tier,In Consolidation,Consol Days,Consol Label,Pct to Breakout,Consol Volume,Vol 5D Ratio,Breakout Vol,range_pct,Vol Label,Vol Inference,Sector Trend,Sector Detail,Sector Score,Cap Score,ML_Prediction,ML_Confidence,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob
ABSLAMC,Financial Services,73.0,27282.08,Large Cap,944.65,51.75,22.47,-2.47,0.19,927.31,880.99,807.78,18.31,18.83,65,30,Momentum,65,TIER 1 — BUY NOW (Momentum),False,0,No consolidation,0.0,0.0,0.72,0.0,0.0,Low,"Weak volume → momentum may fade, wait",Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,8.5,8.5,Bullish Continual,77.9,2.6,4.6,20.3,968.77,987.86,1136.06,0.0,70.5,False,True,77.9,0.0
ACC,Construction Materials,50.0,25940.93,Large Cap,1381.4,32.03,64.17,-8.07,1.78,1475.11,1580.39,1769.55,9.8,37.45,5,65,Reversal,65,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.46,0.0,0.0,Normal,Elevated volume on reversal → watch direction,No data,—,7.2,7.2,Reversal,74.7,1.2,2.5,5.2,1398.52,1416.11,1453.87,74.7,0.0,True,False,0.0,84.1
ACCELYA,Information Technology,56.0,1769.24,Mid Cap,1181.8,45.78,12.97,2.1,0.58,1195.4,1221.52,1284.55,19.44,18.86,32,53,Reversal,53,TIER 3 — WAITING,True,352,352d (under 1 year),-18.85,1.38,0.79,0.61,-18.85,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,6.5,7.0,Reversal,0.0,0.3,0.2,13.2,1184.83,1184.63,1338.33,0.0,0.0,False,False,0.0,65.9
ACE,Capital Goods,81.0,9868.77,Mini Large Cap,829.15,39.83,13.92,-2.91,0.96,853.83,878.65,1001.27,20.71,17.1,0,33,Watching,33,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.01,0.0,0.0,Normal,Normal activity → no setup forming yet,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,9.9,10.0,Bullish,74.2,0.4,1.8,3.6,832.18,843.83,859.31,74.2,0.0,True,False,0.0,87.5
ACI,Chemicals,32.8,7422.94,Mini Large Cap,601.25,65.87,33.42,3.81,1.58,568.25,564.18,590.42,33.46,8.51,70,0,Momentum,70,TIER 3 — WAITING,True,799,799d (2+ years),-18.15,1.74,1.17,0.4,-18.15,Normal,Average volume → monitor for increase,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,3.7,3.8,Bullish Continual,0.2,2.3,2.6,9.6,615.16,616.66,658.68,0.0,74.1,False,True,0.2,0.0
ADANIENT,Metals & Mining,62.0,262458.16,Large Cap,1927.1,28.64,44.23,-11.23,0.88,2035.77,2110.99,2295.58,10.45,29.07,5,65,Reversal,65,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,0.96,0.0,0.0,Low,Neutral volume → wait for low-volume base to form,Downtrend ↓,RSI 40.8 | ADX 28.0 | MACD ▼ | EMA ↑↑↑ | Above EMA200,7.4,7.4,Reversal,74.9,0.0,2.7,9.4,1927.86,1979.28,2108.88,74.9,0.0,True,False,0.0,86.0
ADANIPORTS,Services,82.0,314582.58,Large Cap,1365.4,36.22,24.05,-10.41,1.57,1427.48,1456.46,1423.58,20.64,26.27,5,55,Reversal,55,TIER 2 — WATCHLIST,True,530,530d (1.5-2 years),-11.44,1.57,1.09,0.87,-11.44,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 26.6 | ADX 57.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,10.0,10.0,Reversal,75.0,0.7,1.7,10.2,1375.15,1388.41,1504.72,75.0,0.0,True,False,0.0,0.1
ADANIPOWER,Power,63.3,292260.69,Large Cap,151.54,61.89,33.58,1.33,1.68,146.51,144.74,137.14,25.03,13.92,90,15,Momentum,90,TIER 1 — BUY NOW (Momentum),False,0,No consolidation,0.0,0.0,2.2,0.0,0.0,Very High,Strong participation → trend likely to continue,Weak Uptrend →↑,RSI 46.6 | ADX 16.4 | MACD ▼ | EMA ↑↑↑ | Above EMA200,7.3,8.3,Bullish Continual,52.9,2.8,4.7,21.7,155.74,158.61,184.38,0.0,74.4,False,True,52.9,0.0
ADFFOODS,Fast Moving Consumer Goods,61.0,1916.35,Mid Cap,174.43,25.28,43.99,-1.63,1.07,189.96,198.0,216.42,10.99,29.87,5,80,Reversal,80,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,0.8,0.0,0.0,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 22.4 | ADX 61.1 | MACD ▼ | EMA ↓↓↓ | Below EMA200,7.6,8.1,Reversal,84.0,2.4,1.1,-2.0,178.69,176.39,170.96,84.0,0.0,True,False,0.0,65.8
ADOR,Capital Goods,62.0,1596.01,Mid Cap,917.1,26.16,35.59,-9.46,1.42,992.1,1021.75,1034.96,12.07,35.18,5,35,Watching,35,TIER 2 — BASE BUILDING,True,346,346d (under 1 year),-23.86,2.2,1.39,0.69,-23.86,Normal,Normal activity → no setup forming yet,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,7.6,7.6,Bullish,76.2,0.1,1.6,6.2,917.98,931.76,973.86,76.2,0.0,True,False,0.0,86.9
ADVENZYMES,Healthcare,44.0,3051.12,Mid Cap,272.6,30.28,25.59,-2.51,0.8,287.21,292.76,308.51,15.04,32.9,5,43,Watching,43,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.7,0.0,0.0,Low,Low activity → no setup forming yet,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,5.1,5.1,Bullish,85.9,2.8,6.2,21.4,280.28,289.4,330.89,85.9,0.0,True,False,0.0,86.2
AEGISLOG,"Oil, Gas & Consumable Fuels",55.0,21470.67,Large Cap,611.7,36.99,24.91,-3.6,0.32,643.5,676.78,727.97,16.46,23.14,0,40,Watching,40,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.67,0.0,0.0,High,Above avg volume but no setup → watch,Weak Uptrend →↑,RSI 46.6 | ADX 16.4 | MACD ▼ | EMA ↑↑↑ | Above EMA200,6.6,7.9,Bullish,73.8,0.1,1.7,4.9,612.12,622.26,641.38,73.8,0.0,True,False,0.0,85.6
AEROFLEX,Capital Goods,75.0,3095.56,Mid Cap,233.75,51.29,36.48,-0.52,0.37,228.1,211.68,192.59,30.32,22.02,80,30,Momentum,80,TIER 1 — BUY NOW (Momentum),True,384,384d (1-1.5 years),-2.6,1.91,1.39,1.42,-2.6,Normal,Average volume → monitor for increase,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,9.1,9.1,Bullish Continual,77.9,2.5,5.1,18.9,239.59,245.78,278.03,0.0,0.0,False,False,77.9,0.0
AFCONS,Construction,36.8,10252.0,Mini Large Cap,278.75,37.37,23.43,1.81,0.75,290.74,318.39,384.67,24.79,21.41,25,33,Watching,33,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.61,0.0,0.0,Very Low,Low activity → no setup forming yet,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,4.7,4.9,Bullish,85.4,3.5,4.7,0.6,288.63,291.81,280.55,85.4,0.0,True,False,0.0,82.1
AFFLE,Information Technology,73.8,18077.32,Mini Large Cap,1285.7,33.43,42.43,0.12,1.84,1382.49,1496.4,1672.44,14.26,28.68,20,65,Reversal,65,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,1.1,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,8.6,9.3,Reversal,80.5,2.0,1.3,10.2,1311.88,1302.45,1416.29,80.5,0.0,True,False,0.0,80.3
AFSL,Financial Services,42.0,1022.83,Mid Cap,201.0,43.59,88.83,-0.11,1.36,201.64,202.01,214.88,26.16,1.28,20,25,Watching,25,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.39,0.0,0.0,Normal,Strong downtrend → no entry signal,Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,4.9,5.3,Bullish,0.0,2.5,4.1,51.1,205.93,209.33,303.65,0.0,0.0,False,False,0.0,0.2
AGARIND,Chemicals,69.0,616.93,Small Cap,412.45,13.34,61.4,-0.59,1.04,486.15,579.38,770.38,7.73,29.99,5,80,Reversal,80,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,2.05,0.0,0.0,Very High,High volume → could be capitulation or distribution,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,7.8,9.6,Reversal,83.8,4.2,2.9,-2.3,429.91,424.41,402.99,83.8,0.0,True,False,0.0,51.2
AGI,Capital Goods,59.0,3229.05,Mid Cap,499.1,35.41,17.81,2.8,0.42,532.01,589.98,727.1,20.67,23.18,15,33,Watching,33,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.62,0.0,0.0,Very Low,Low activity → no setup forming yet,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,7.2,7.2,Bullish,89.3,4.4,8.9,9.5,521.19,543.38,546.35,89.3,0.0,True,False,0.0,82.3
AGIIL,Realty,81.0,3891.71,Mid Cap,311.7,66.59,24.45,-1.01,2.38,298.17,283.85,247.42,18.53,12.99,65,15,Momentum,65,TIER 1 — BUY NOW (Momentum),False,0,No consolidation,0.0,0.0,1.37,0.0,0.0,Normal,Average volume → monitor for increase,Strong Downtrend ↓↓,RSI 30.9 | ADX 45.0 | MACD ▼ | EMA ↓↓↓ | Below EMA200,10.0,10.0,Bullish Continual,81.7,4.7,8.3,17.4,326.41,337.51,365.89,0.0,79.0,False,True,81.7,0.0
