Symbol,Sector,Fund Score,Market Cap Cr,Cap Category,Current Price,RSI,ADX,MACD Hist,Vol Ratio,EMA20,EMA50,EMA200,DI+,DI-,Momentum Score,Reversal Score,Best Setup,Tech Score,Tier,In Consolidation,Consol Days,Consol Label,Pct to Breakout,Consol Volume,Vol 5D Ratio,Breakout Vol,range_pct,Vol Label,Vol Inference,Sector Trend,Sector Detail,Sector Score,Cap Score,ML_Prediction,ML_Confidence,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob
DABUR,Fast Moving Consumer Goods,46.0,76392.84,Large Cap,430.7,18.39,54.01,-5.29,1.14,471.69,490.78,503.65,6.34,45.08,5,50,Reversal,50,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.57,0.0,0.0,High,High volume → could be capitulation or distribution,Strong Downtrend ↓↓,RSI 22.4 | ADX 61.1 | MACD ▼ | EMA ↓↓↓ | Below EMA200,5.7,5.7,Reversal,72.0,0.7,2.5,12.5,433.82,441.62,484.48,72.0,0.0,True,False,0.0,71.3
DALMIASUG,Fast Moving Consumer Goods,59.0,2594.91,Mid Cap,320.6,66.24,29.32,-0.44,2.52,302.5,298.17,326.15,31.36,13.53,40,30,Watching,40,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.15,0.0,0.0,Normal,Normal activity → no setup forming yet,Strong Downtrend ↓↓,RSI 22.4 | ADX 61.1 | MACD ▼ | EMA ↓↓↓ | Below EMA200,7.3,7.9,Bullish,0.0,1.1,2.6,16.4,324.13,328.83,373.13,0.0,80.3,False,True,0.0,0.0
DAMCAPITAL,Financial Services,50.7,917.86,Small Cap,129.85,42.49,35.19,0.63,1.22,138.98,161.08,214.44,26.2,24.15,30,75,Reversal,75,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,2.16,0.0,0.0,Very High,High volume → could be capitulation or distribution,Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,5.9,6.5,Reversal,91.0,6.6,8.4,33.0,138.43,140.76,172.65,91.0,0.0,True,False,0.0,80.2
DATAMATICS,Information Technology,57.0,4056.77,Mid Cap,686.35,40.96,15.26,-3.12,0.2,715.61,741.2,769.36,22.5,23.13,0,48,Watching,48,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.18,0.0,0.0,Very Low,"Very low volume → no interest, wait",Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,6.6,7.2,No Signal,,-1.9,-0.0,-0.4,673.65,686.03,683.8,73.4,0.0,True,False,0.0,86.9
DBCORP,"Media, Entertainment & Publication",50.0,3700.56,Mid Cap,207.61,42.87,41.14,0.4,0.82,214.56,227.34,247.58,12.91,19.72,20,45,Watching,45,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.49,0.0,0.0,Normal,Strong downtrend → no entry signal,No data,—,6.9,10.0,Bullish,80.2,1.0,1.2,5.9,209.58,210.15,219.78,80.2,0.0,True,False,0.0,85.6
DCMSHRIRAM,Diversified,32.0,16140.77,Mini Large Cap,1041.0,49.46,31.69,10.01,1.41,1049.29,1094.76,1156.03,20.54,23.31,32,15,Watching,32,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.37,0.0,0.0,Normal,Normal activity → no setup forming yet,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,6.2,10.0,Bullish,0.0,0.6,2.1,7.8,1047.09,1062.98,1121.91,0.0,0.0,False,False,0.0,85.8
DCMSRIND,Fast Moving Consumer Goods,28.0,959.18,Small Cap,35.32,52.08,25.91,0.79,1.27,35.92,50.03,112.03,29.46,18.06,50,15,Momentum,50,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.97,0.0,0.0,Low,"Weak volume → momentum may fade, wait",Strong Downtrend ↓↓,RSI 22.4 | ADX 61.1 | MACD ▼ | EMA ↓↓↓ | Below EMA200,3.5,4.0,Bullish Continual,0.0,8.4,8.6,97.7,38.29,38.35,69.83,0.0,0.0,False,False,0.0,90.8
DEEPAKFERT,Chemicals,61.0,11480.92,Mini Large Cap,908.55,35.2,33.2,0.04,1.01,964.37,1045.27,1225.35,14.15,27.12,20,55,Reversal,55,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,1.29,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,6.9,7.0,Reversal,88.1,2.9,6.3,20.4,935.3,966.01,1093.84,88.1,0.0,True,False,0.0,81.2
DEEPAKNTR,Chemicals,52.0,18962.73,Mini Large Cap,1390.3,26.43,49.25,-11.6,1.25,1484.02,1552.5,1740.03,16.01,29.67,5,35,Watching,35,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.31,0.0,0.0,Normal,Strong downtrend → no entry signal,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,5.8,6.0,No Signal,,-0.5,1.1,14.6,1383.1,1405.51,1593.87,71.2,0.0,True,False,0.0,86.9
DELTACORP,Consumer Services,43.0,1443.43,Mid Cap,53.89,33.94,45.61,-0.19,0.98,57.66,62.25,75.24,20.36,27.37,5,80,Reversal,80,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.37,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,4.8,5.9,Reversal,83.5,0.9,3.5,14.6,54.39,55.79,61.77,83.5,0.0,True,False,0.0,88.2
DENTA,Utilities,47.5,645.07,Small Cap,241.6,47.68,29.32,1.94,0.33,246.95,269.51,320.4,36.98,15.0,42,15,Watching,42,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.51,0.0,0.0,Very Low,Low activity → no setup forming yet,Weak Uptrend →↑,RSI 46.6 | ADX 16.4 | MACD ▼ | EMA ↑↑↑ | Above EMA200,6.1,6.1,Bullish,87.2,3.0,4.0,3.0,248.93,251.36,248.8,87.2,0.0,True,False,0.0,83.7
DEVIT,Information Technology,58.0,155.37,Small Cap,27.58,54.84,23.69,0.55,0.09,27.02,29.2,37.48,26.96,19.37,45,30,Watching,45,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.41,0.0,0.0,Very Low,"Very low volume → no interest, wait",Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,6.7,6.7,No Signal,,-1.4,-1.1,17.1,27.19,27.27,32.29,0.1,82.0,False,True,0.0,84.8
DHANUKA,Chemicals,72.0,4336.99,Mid Cap,962.1,35.1,23.12,0.93,0.54,1007.63,1068.21,1272.83,23.03,24.09,15,60,Reversal,60,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,0.72,0.0,0.0,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,8.1,8.7,Reversal,76.9,0.4,2.4,19.9,966.12,985.13,1153.76,76.9,0.0,True,False,0.0,88.8
DICIND,Chemicals,25.8,456.88,Small Cap,497.75,39.77,23.06,-2.98,0.28,516.22,518.27,545.36,15.59,18.55,0,70,Reversal,70,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.54,0.0,0.0,Very Low,Low volume on down move → selling pressure easing,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,2.9,3.6,Reversal,68.0,0.3,1.8,8.5,499.14,506.77,539.97,68.0,0.0,True,False,0.0,0.2
DIVISLAB,Healthcare,57.0,161935.83,Large Cap,6100.0,42.16,33.04,-33.96,1.09,6202.62,6248.77,6227.33,17.52,32.96,10,25,Watching,25,TIER 3 — WAITING,True,332,332d (under 1 year),-10.24,1.09,0.76,0.5,-10.24,Low,Low activity → no setup forming yet,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,6.6,7.7,Bullish,0.0,0.8,1.2,5.7,6151.55,6175.61,6446.11,0.0,0.0,False,False,0.0,0.2
DIXON,Consumer Durables,73.0,62786.87,Large Cap,10342.0,47.27,17.46,32.97,0.69,10522.78,11104.84,13320.45,21.46,19.69,32,16,Watching,32,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.74,0.0,0.0,Low,Low activity → no setup forming yet,Strong Downtrend ↓↓,RSI 36.4 | ADX 46.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,9.4,10.0,Bullish,81.6,0.5,3.8,12.1,10392.38,10735.48,11595.7,81.6,0.0,True,False,0.0,83.4
DLF,Realty,49.0,133901.16,Large Cap,540.75,34.87,39.6,-1.73,0.88,575.41,614.1,693.66,22.37,30.67,5,80,Reversal,80,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.05,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 30.9 | ADX 45.0 | MACD ▼ | EMA ↓↓↓ | Below EMA200,6.0,7.3,Reversal,79.7,0.2,2.0,4.8,541.79,551.49,566.54,79.7,0.0,True,False,0.0,85.3
DLINKINDIA,Information Technology,69.0,1400.08,Mid Cap,394.1,45.5,12.65,-0.28,0.77,399.83,406.22,437.16,20.38,15.83,17,31,Watching,31,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.78,0.0,0.0,Low,Low activity → no setup forming yet,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,8.0,8.7,No Signal,,-0.1,1.8,16.3,393.77,401.13,458.24,0.0,0.0,False,False,0.0,78.5
DMART,Consumer Services,67.0,245378.43,Large Cap,3770.8,36.72,14.62,-13.81,0.89,3848.05,3857.32,4010.98,19.44,18.21,5,18,Watching,18,TIER 2 — BASE BUILDING,True,683,683d (1.5-2 years),-25.89,1.0,0.78,0.68,-25.89,Low,Low activity → no setup forming yet,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,7.5,9.1,Bullish,0.0,0.5,1.8,13.8,3788.23,3837.62,4292.56,0.0,0.0,False,False,0.0,0.1
DODLA,Fast Moving Consumer Goods,61.4,6119.05,Mini Large Cap,1014.3,41.65,46.75,-0.51,0.87,1068.89,1130.3,1209.14,33.86,13.2,15,25,Watching,25,TIER 2 — BASE BUILDING,True,418,418d (1-1.5 years),-30.0,2.77,1.71,1.09,-30.0,High,Strong downtrend → no entry signal,Strong Downtrend ↓↓,RSI 22.4 | ADX 61.1 | MACD ▼ | EMA ↓↓↓ | Below EMA200,7.6,7.8,No Signal,,-0.1,2.7,21.1,1013.34,1041.67,1228.35,76.1,0.0,True,False,0.0,89.1
DOLATALGO,Financial Services,77.0,1256.21,Mid Cap,71.32,28.15,36.99,-0.15,0.64,74.78,77.4,84.19,12.26,31.36,5,58,Reversal,58,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,1.05,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,9.0,9.8,Reversal,79.0,2.5,4.1,20.3,73.07,74.28,85.77,79.0,0.0,True,False,0.0,87.6
DOLLAR,Textiles,50.6,1478.13,Mid Cap,260.05,46.99,43.74,0.83,1.78,269.66,295.47,346.83,21.9,24.2,32,65,Reversal,65,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.06,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,6.2,6.2,Reversal,86.2,3.9,5.3,6.7,270.28,273.79,277.36,86.2,0.0,True,False,0.0,82.4
DOMS,Fast Moving Consumer Goods,74.0,13832.56,Mini Large Cap,2278.8,60.68,37.52,18.07,0.54,2218.22,2316.29,2450.1,36.51,11.26,55,35,Momentum,55,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,0.33,0.0,0.0,Very Low,"Very low volume → no conviction, caution",Strong Downtrend ↓↓,RSI 22.4 | ADX 61.1 | MACD ▼ | EMA ↓↓↓ | Below EMA200,9.2,9.4,Bullish Continual,0.0,0.7,2.9,17.6,2294.21,2345.5,2679.14,0.0,0.0,False,False,0.0,86.9
DPABHUSHAN,Consumer Durables,45.5,2341.0,Mid Cap,1025.5,45.62,43.82,3.17,1.16,1071.14,1189.59,1375.12,24.66,25.36,32,20,Watching,32,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.83,0.0,0.0,Low,Strong downtrend → no entry signal,Strong Downtrend ↓↓,RSI 36.4 | ADX 46.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,5.8,5.8,Bullish,86.9,3.9,6.5,21.5,1065.73,1092.25,1246.32,86.9,0.0,True,False,0.0,86.0
DREAMFOLKS,Services,64.8,376.14,Small Cap,70.61,31.58,47.07,0.07,1.58,76.72,86.63,142.51,12.82,24.84,20,85,Reversal,85,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,1.44,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 26.6 | ADX 57.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,7.9,8.5,Reversal,89.3,9.1,25.0,104.8,77.05,88.27,144.58,89.3,0.0,True,False,0.0,84.7
DRREDDY,Healthcare,59.0,108145.26,Large Cap,1298.9,52.76,23.6,-4.25,1.91,1290.48,1273.9,1255.33,21.73,24.85,60,15,Momentum,60,TIER 3 — WAITING,True,642,642d (1.5-2 years),-5.29,1.91,0.82,0.75,-5.29,Low,"Weak volume → momentum may fade, wait",Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,6.8,8.0,Bullish Continual,0.1,1.8,3.1,11.4,1322.16,1338.54,1447.32,0.0,0.0,False,False,0.1,0.0
DSSL,Information Technology,79.6,1142.23,Mid Cap,897.6,48.06,17.08,0.93,0.76,907.52,927.78,981.25,22.55,14.66,32,36,Watching,36,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.59,0.0,0.0,Very Low,Low activity → no setup forming yet,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,9.3,10.0,No Signal,,-0.4,0.7,3.9,894.36,903.72,932.19,76.3,0.0,True,False,0.0,85.8
EASEMYTRIP,Consumer Services,65.6,2491.24,Mid Cap,6.85,31.14,13.78,-0.13,0.39,7.37,7.46,8.82,23.24,25.75,0,73,Reversal,73,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,0.44,0.0,0.0,Very Low,Sellers exhausted → reversal likely,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,7.4,9.0,Reversal,83.2,0.2,1.7,-0.6,6.86,6.96,6.81,83.2,0.0,True,False,0.0,90.7
ECLERX,Services,80.0,13689.63,Mini Large Cap,1469.0,29.73,44.7,10.79,0.61,1602.73,1824.74,1950.53,8.22,21.16,20,73,Reversal,73,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,0.64,0.0,0.0,Very Low,Low volume on down move → selling pressure easing,Strong Downtrend ↓↓,RSI 26.6 | ADX 57.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,9.8,10.0,Reversal,91.0,7.9,12.5,21.2,1584.61,1652.14,1780.5,91.0,0.0,True,False,0.0,78.9
ECOSMOBLTY,Services,71.4,671.16,Small Cap,111.86,18.42,48.37,-1.1,1.2,137.32,161.77,218.93,11.19,45.74,5,65,Reversal,65,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,0.97,0.0,0.0,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 26.6 | ADX 57.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,8.7,9.4,Reversal,91.9,8.5,9.5,37.8,121.34,122.52,154.13,91.9,0.0,True,False,0.0,83.0
EDELWEISS,Financial Services,40.0,9913.82,Mini Large Cap,104.7,33.95,18.95,-0.73,0.66,110.09,111.16,108.32,19.56,25.89,5,81,Reversal,81,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.82,0.0,0.0,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,4.7,5.0,Reversal,79.3,2.5,4.1,20.3,107.27,109.04,125.91,79.3,0.0,True,False,0.0,0.0
EICHERMOT,Automobile and Auto Components,81.0,189523.68,Large Cap,6909.0,38.39,46.56,-87.33,0.98,7266.03,7362.95,6752.56,13.72,40.91,20,25,Watching,25,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.12,0.0,0.0,Normal,Strong downtrend → no entry signal,Strong Downtrend ↓↓,RSI 37.2 | ADX 40.3 | MACD ▼ | EMA mixed | Below EMA200,9.8,10.0,Bullish,69.4,0.7,2.4,12.9,6955.02,7075.38,7803.59,69.4,0.0,True,False,0.0,0.0
EIDPARRY,Fast Moving Consumer Goods,59.0,14044.54,Mini Large Cap,789.05,34.86,34.37,-0.56,0.84,830.4,881.33,953.57,14.99,26.57,5,80,Reversal,80,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.66,0.0,0.0,Very Low,Low volume on down move → selling pressure easing,Strong Downtrend ↓↓,RSI 22.4 | ADX 61.1 | MACD ▼ | EMA ↓↓↓ | Below EMA200,7.3,7.5,Reversal,79.0,0.3,1.0,5.1,791.79,797.01,829.62,79.0,0.0,True,False,0.0,88.3
EIHOTEL,Consumer Services,57.0,19355.02,Mini Large Cap,309.5,38.8,36.19,-0.09,0.29,320.29,330.58,357.35,26.75,15.8,15,55,Reversal,55,TIER 3 — WAITING,True,405,405d (1-1.5 years),-27.33,0.45,0.23,0.29,-27.33,Very Low,Sellers exhausted → reversal likely,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,6.4,6.4,Reversal,77.3,0.7,2.2,16.5,311.68,316.36,360.71,77.3,0.0,True,False,0.0,88.5
ELECON,Capital Goods,73.0,8748.23,Mini Large Cap,389.85,44.79,20.92,-0.76,1.99,400.79,421.72,493.93,34.05,18.32,15,55,Reversal,55,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,1.6,0.0,0.0,High,High volume → could be capitulation or distribution,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,8.9,9.0,Reversal,81.5,0.2,1.8,5.0,390.5,396.73,409.16,81.5,0.0,True,False,0.0,87.6
ELECTCAST,Capital Goods,59.7,4625.88,Mid Cap,74.83,60.34,41.01,0.81,2.27,70.72,72.01,87.78,42.75,14.3,60,15,Momentum,60,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.0,0.0,0.0,Normal,Average volume → monitor for increase,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,7.3,7.3,Bullish Continual,0.0,0.5,2.1,13.4,75.18,76.37,84.83,0.0,64.0,False,True,0.0,0.1
ELGIEQUIP,Capital Goods,64.0,15159.57,Mini Large Cap,480.05,43.49,33.72,-6.27,0.77,493.26,490.74,496.74,20.06,24.45,10,33,Watching,33,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.67,0.0,0.0,Very Low,Low activity → no setup forming yet,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,7.8,7.9,Bullish,77.0,0.4,2.0,10.7,481.92,489.45,531.33,77.0,0.0,True,False,0.0,0.0
EMAMILTD,Fast Moving Consumer Goods,71.0,17581.7,Mini Large Cap,402.75,17.42,62.35,-3.86,1.09,440.74,467.94,519.93,3.75,37.46,5,65,Reversal,65,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,1.86,0.0,0.0,High,High volume → could be capitulation or distribution,Strong Downtrend ↓↓,RSI 22.4 | ADX 61.1 | MACD ▼ | EMA ↓↓↓ | Below EMA200,8.8,9.0,Reversal,77.1,0.4,1.8,5.9,404.31,409.89,426.63,77.1,0.0,True,False,0.0,85.6
EMCURE,Healthcare,62.8,28025.13,Large Cap,1478.2,48.22,14.21,0.67,0.19,1483.88,1473.58,1399.27,22.67,22.66,57,23,Momentum,57,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,0.27,0.0,0.0,Very Low,"Very low volume → no conviction, caution",Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,7.2,8.5,Bullish Continual,73.5,2.8,5.0,10.4,1519.85,1552.75,1631.32,0.0,0.0,False,False,73.5,0.0
EMIL,Consumer Services,47.2,3540.07,Mid Cap,92.01,43.0,16.71,-0.22,0.74,94.32,98.3,119.45,21.11,18.81,0,41,Watching,41,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.67,0.0,0.0,Very Low,Low activity → no setup forming yet,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,5.3,6.5,Bullish,83.8,0.6,2.2,8.6,92.57,94.03,99.92,83.8,0.0,True,False,0.0,89.9
EMKAY,Financial Services,61.9,583.15,Small Cap,222.67,47.39,21.44,1.25,0.84,227.84,242.58,255.11,18.37,13.82,37,35,Watching,37,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.45,0.0,0.0,Normal,Normal activity → no setup forming yet,Strong Downtrend ↓↓,RSI 39.2 | ADX 28.2 | MACD ▼ | EMA mixed | Below EMA200,7.2,7.9,Bullish,84.3,2.5,4.1,20.3,228.13,231.9,267.79,84.3,0.0,True,False,0.0,88.1
EMSLIMITED,Utilities,66.4,1650.6,Mid Cap,297.0,54.66,30.42,4.71,0.88,295.16,329.13,458.14,31.84,17.56,50,15,Momentum,50,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,1.0,0.0,0.0,Normal,Average volume → monitor for increase,Weak Uptrend →↑,RSI 46.6 | ADX 16.4 | MACD ▼ | EMA ↑↑↑ | Above EMA200,8.5,10.0,Bullish Continual,0.0,3.6,8.1,30.1,307.84,320.96,386.5,0.0,0.0,False,False,0.0,85.2
EMUDHRA,Information Technology,73.6,3242.49,Mid Cap,395.45,26.65,47.78,1.47,0.51,428.56,475.53,607.55,9.17,28.43,20,80,Reversal,80,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,0.47,0.0,0.0,Very Low,Sellers exhausted → reversal likely,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,8.6,9.2,Reversal,83.3,3.9,1.6,13.7,410.83,401.73,449.61,83.3,0.0,True,False,0.0,81.6
ENDURANCE,Automobile and Auto Components,57.0,32075.35,Large Cap,2280.3,26.25,41.21,-26.41,0.61,2432.79,2494.4,2541.38,7.38,29.95,5,28,Watching,28,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.84,0.0,0.0,Low,Strong downtrend → no entry signal,Strong Downtrend ↓↓,RSI 37.2 | ADX 40.3 | MACD ▼ | EMA mixed | Below EMA200,6.9,7.0,Bullish,76.9,0.1,1.7,11.8,2283.47,2319.02,2548.91,76.9,0.0,True,False,0.0,85.1
ENGINERSIN,Construction,54.0,10779.54,Mini Large Cap,191.64,42.61,21.34,-2.36,0.63,197.04,196.21,195.83,23.13,24.26,0,48,Watching,48,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.5,0.0,0.0,Very Low,"Very low volume → no interest, wait",Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,6.8,7.2,Bullish,77.8,0.2,2.0,13.5,191.98,195.53,217.49,77.8,0.0,True,False,0.0,0.0
EPIGRAL,Chemicals,47.0,3648.46,Mid Cap,845.7,26.34,43.59,4.68,1.26,892.01,1003.95,1382.62,11.23,21.64,20,65,Reversal,65,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.83,0.0,0.0,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,5.3,5.7,Reversal,79.4,6.8,7.5,19.5,903.41,908.98,1010.78,79.4,0.0,True,False,0.0,81.1
ERIS,Healthcare,58.0,17801.38,Mini Large Cap,1284.9,32.29,50.62,-3.74,1.33,1336.27,1391.96,1490.29,4.44,27.63,5,35,Watching,35,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.17,0.0,0.0,Normal,Strong downtrend → no entry signal,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,6.7,6.8,Bullish,0.1,0.8,1.4,6.8,1294.89,1302.39,1371.93,0.1,0.0,False,False,0.0,84.9
ESABINDIA,Capital Goods,51.1,8321.47,Mini Large Cap,5406.0,50.78,15.83,8.8,0.51,5420.93,5509.59,5401.91,19.79,18.01,50,53,Reversal,53,TIER 3 — WAITING,True,659,659d (1.5-2 years),-13.28,1.98,1.01,0.37,-13.28,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,6.2,6.3,Reversal,0.0,1.0,1.6,9.7,5462.66,5492.14,5930.61,0.0,0.0,False,False,0.0,0.1
ESCORTS,Capital Goods,61.0,33661.05,Large Cap,3059.4,40.53,41.78,-29.43,6.21,3247.71,3417.41,3504.55,14.54,39.1,5,25,Watching,25,TIER 2 — BASE BUILDING,True,470,470d (1-1.5 years),-25.99,6.21,2.76,1.32,-25.99,Very High,Above avg volume but no setup → watch closely,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,7.4,7.4,No Signal,,-0.2,1.7,5.2,3052.67,3112.37,3218.83,77.3,0.0,True,False,0.0,84.1
EVEREADY,Fast Moving Consumer Goods,35.0,2191.69,Mid Cap,300.7,40.02,42.26,-2.13,1.26,312.01,322.2,345.0,15.51,27.36,10,25,Watching,25,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.03,0.0,0.0,Normal,Strong downtrend → no entry signal,Strong Downtrend ↓↓,RSI 22.4 | ADX 61.1 | MACD ▼ | EMA ↓↓↓ | Below EMA200,4.3,4.7,Bullish,78.3,0.3,1.8,10.9,301.6,306.07,333.56,78.3,0.0,True,False,0.0,90.0
EXPLEOSOL,Information Technology,75.0,1117.89,Mid Cap,720.3,38.16,35.49,2.07,0.55,761.51,830.05,971.52,19.0,21.96,20,90,Reversal,90,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,1.99,0.0,0.0,High,High volume → could be capitulation or distribution,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,8.7,9.4,Reversal,76.2,2.3,2.5,11.5,736.94,738.16,803.32,76.2,0.0,True,False,0.0,77.7
