Symbol,Sector,Market_Cap_Cr,Cap_Tier,Passed,Fail_Reason
DEEPAKFERT,Chemicals,11480.92,Mini Large,True,
DEEPAKNTR,Chemicals,18962.73,Mini Large,True,
DEEPINDS,"Oil, Gas & Consumable Fuels",2622.4,Mid Cap,False,TTM Profit negative or zero
DELHIVERY,Services,31757.11,Large Cap,False,ROE 1.7% < 6% (Large Cap)
DELPHIFX,Financial Services,3656.63,Mid Cap,False,ROE 0.8% < 8% (Mid Cap)
DELTACORP,Consumer Services,1443.43,Mid Cap,True,
DEN,"Media, Entertainment & Publication",1237.21,Mid Cap,False,ROE 5.3% < 8% (Mid Cap)
DENORA,Capital Goods,370.68,Small Cap,False,TTM Profit negative or zero
DENTA,Utilities,645.07,Small Cap,True,
DEVIT,Information Technology,155.37,Small Cap,True,
DEVYANI,Consumer Services,12843.53,Mini Large,False,TTM Profit negative or zero
