Symbol,Sector,Historical Score,Peer Score,Quality Score,Promoter Holding %,FII + DII %,Final Score
GOLDIAM,Consumer Durables,32.0,30.0,12,58.51,1.84,74.0
NAVA,Power,28.0,29.0,17,50.1,10.74,74.0
DOMS,Fast Moving Consumer Goods,28.0,31.0,15,70.38,26.66,74.0
ZYDUSLIFE,Healthcare,31.0,26.0,17,75.0,18.14,74.0
KIMS,Healthcare,38.0,27.0,9,34.11,47.05,74.0
POLYMED,Healthcare,34.0,25.0,15,62.42,23.25,74.0
BAJAJFINSV,Financial Services,38.0,25.0,11,58.81,18.8,74.0
REFEX,Chemicals,33.0,26.0,15,55.8,2.19,74.0
BETA,Healthcare,29.6,29.3,15,64.9,3.04,73.9
HSCL,Chemicals,34.0,22.9,17,52.49,8.84,73.9
AFFLE,Information Technology,28.8,31.0,14,54.95,34.15,73.8
EMUDHRA,Information Technology,29.6,30.0,14,54.4,20.91,73.6
EMERALD,Financial Services,28.0,33.6,12,59.5,1.74,73.6
STYLAMIND,Consumer Durables,26.4,32.0,15,52.19,15.28,73.4
TRENT,Consumer Services,37.0,26.3,10,37.01,36.99,73.3
MCLOUD,Information Technology,36.0,25.0,12,54.04,0.26,73.0
MASTERTR,Financial Services,33.0,26.0,14,71.93,0.07,73.0
GRWRHITECH,Capital Goods,32.0,24.0,17,60.73,9.31,73.0
JBCHEPHARM,Healthcare,31.0,29.0,13,48.78,37.26,73.0
TRANSRAILL,Capital Goods,28.0,28.0,17,71.12,9.35,73.0
SYNCOMF,Healthcare,34.0,25.0,14,50.57,0.26,73.0
PIIND,Chemicals,34.0,28.0,11,46.09,46.91,73.0
KPRMILL,Textiles,28.0,32.0,13,67.52,25.67,73.0
TITAN,Consumer Durables,34.0,28.0,11,52.9,30.38,73.0
ELECON,Capital Goods,34.0,24.0,15,59.28,12.57,73.0
DIXON,Consumer Durables,35.0,29.0,9,28.83,47.74,73.0
HBLENGINE,Capital Goods,28.0,28.0,17,59.11,6.69,73.0
MPSLTD,Consumer Services,34.0,23.0,16,68.34,2.79,73.0
ABSLAMC,Financial Services,29.0,29.0,15,74.82,16.84,73.0
FILATEX,Textiles,24.8,30.0,18,65.38,6.89,72.8
NDRAUTO,Automobile and Auto Components,27.2,28.0,17,73.13,0.05,72.2
INDOAMIN,Chemicals,31.0,23.0,18,58.42,0.0,72.0
KSB,Capital Goods,32.0,25.0,15,69.8,16.47,72.0
CUMMINSIND,Capital Goods,32.0,27.0,13,51.0,40.02,72.0
GPIL,Capital Goods,32.0,24.0,16,63.5,8.43,72.0
METROBRAND,Consumer Durables,29.0,27.0,16,71.83,11.32,72.0
SAREGAMA,"Media, Entertainment & Publication",34.0,23.0,15,60.39,19.22,72.0
MARUTI,Automobile and Auto Components,31.0,28.0,13,58.28,38.6,72.0
NH,Healthcare,30.0,27.0,15,63.27,19.01,72.0
HAL,Capital Goods,29.0,30.0,13,71.64,20.54,72.0
DHANUKA,Chemicals,28.0,29.0,15,69.72,20.92,72.0
INTLCONV,Capital Goods,26.0,28.0,18,69.65,0.89,72.0
DHABRIYA,Capital Goods,32.0,23.0,17,67.75,1.88,72.0
ARYAMAN,Financial Services,33.0,24.0,15,63.92,0.01,72.0
SHAREINDIA,Financial Services,28.0,29.0,15,48.62,1.86,72.0
APARINDS,Capital Goods,34.0,25.0,13,57.77,32.55,72.0
AJANTPHARM,Healthcare,27.0,30.0,15,66.25,26.55,72.0
JSL,Metals & Mining,34.0,21.7,16,61.22,28.76,71.7
MAPMYINDIA,Information Technology,30.4,26.0,15,51.36,17.85,71.4
CONCORDBIO,Healthcare,26.4,32.0,13,44.08,17.16,71.4
ECOSMOBLTY,Services,22.4,32.0,17,67.79,15.19,71.4
CHOLAHLDNG,Financial Services,37.0,25.3,9,46.38,40.02,71.3
MAXHEALTH,Healthcare,36.0,24.0,11,23.72,71.75,71.0
PGIL,Textiles,34.0,24.0,13,61.24,23.04,71.0
EMAMILTD,Fast Moving Consumer Goods,30.0,28.0,13,54.84,35.75,71.0
NUVAMA,Financial Services,32.0,28.0,11,54.2,24.76,71.0
NMDC,Metals & Mining,30.0,26.0,15,60.79,27.54,71.0
FIEMIND,Automobile and Auto Components,29.0,29.0,13,54.51,17.8,71.0
GALLANTT,Capital Goods,34.0,19.0,18,69.83,0.2,71.0
LALPATHLAB,Healthcare,30.0,28.0,13,53.21,39.49,71.0
KNRCON,Construction,33.0,27.0,11,48.81,27.4,71.0
ICEMAKE,Capital Goods,34.0,23.0,14,74.26,2.1,71.0
JAMNAAUTO,Automobile and Auto Components,29.0,29.0,13,49.93,13.27,71.0
PIDILITIND,Chemicals,26.0,30.0,15,69.32,21.22,71.0
LICI,Financial Services,26.4,29.0,15,96.5,1.53,70.4
AVANTEL,Capital Goods,30.4,29.0,11,37.08,0.6,70.4
MAHSEAMLES,Capital Goods,29.0,24.0,17,69.81,12.42,70.0
IZMO,Information Technology,33.0,24.0,13,34.81,3.77,70.0
VISHNU,Chemicals,32.0,21.0,17,69.21,7.91,70.0
AURIONPRO,Information Technology,36.0,21.0,13,26.88,17.66,70.0
OFSS,Information Technology,24.0,30.0,16,72.46,17.18,70.0
INFOBEAN,Information Technology,29.0,26.0,15,72.85,0.68,70.0
BCLIND,Fast Moving Consumer Goods,33.0,20.0,17,58.03,0.39,70.0
RAMRAT,Capital Goods,32.0,24.0,14,68.54,0.51,70.0
MANYAVAR,Consumer Services,24.8,30.0,15,74.94,21.29,69.8
DISAQ,Capital Goods,24.0,29.7,16,74.82,8.29,69.7
VERTOZ,"Media, Entertainment & Publication",35.0,20.6,14,64.74,2.43,69.6
ATGL,"Oil, Gas & Consumable Fuels",21.6,32.0,16,74.8,19.06,69.6
INOXINDIA,Capital Goods,25.6,29.0,15,75.0,14.41,69.6
NITTAGELA,Chemicals,26.0,27.4,16,74.49,0.75,69.4
SAFARI,Consumer Durables,34.0,26.3,9,44.7,38.88,69.3
LTFOODS,Fast Moving Consumer Goods,31.0,23.0,15,51.0,18.55,69.0
ARROWGREEN,Capital Goods,23.0,29.0,17,64.81,0.93,69.0
AGARIND,Chemicals,34.0,20.0,15,57.2,5.06,69.0
MARKSANS,Healthcare,33.0,23.0,13,43.87,14.04,69.0
MKEXIM,Consumer Services,31.0,25.0,13,42.97,0.05,69.0
